City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,sungai raya,0.7,108.9,25.03,84,99,2.15,ID,1696201052
130,kirakira,-10.4544,161.9205,28.55,76,81,5.79,SB,1696201052
131,solnechnyy,50.7214,136.6319,7.24,96,100,4.62,RU,1696201052
132,portland,45.5234,-122.6762,22.67,51,20,4.12,US,1696200897
133,jalai nur,49.45,117.7,7.81,59,15,0.61,CN,1696201053
134,atafu village,-8.5421,-172.5159,28.48,70,61,1.41,TK,1696201053
135,anshun,26.25,105.9333,17.68,98,59,1.91,CN,1696201053
136,altamira,-3.2033,-52.2064,30.64,38,56,1.17,BR,1696201053
137,boca suno,-0.7167,-77.1333,31.77,74,79,1.19,EC,1696201053
138,khandyga,62.6667,135.6,4.13,96,100,1.77,RU,1696201053
139,arno,60.1167,18.6333,12.66,79,93,2.72,SE,1696201053
140,minas de marcona,-15.2119,-75.1103,15.11,82,25,5.98,PE,1696201054
141,wake village,33.4268,-94.1063,31.06,44,40,3.09,US,1696201054
142,tolanaro,-25.0319,46.9987,23.04,68,20,2.06,MG,1696201054
143,morehead city,34.7229,-76.726,25.02,76,20,3.6,US,1696200961
144,prince rupert,54.3161,-130.3201,11.83,86,100,6.17,CA,1696201054
145,punta arenas,-53.15,-70.9167,1.06,93,40,7.72,CL,1696201054
146,pisco,-13.7,-76.2167,21.03,73,0,8.23,PE,1696200844
147,ilhabela,-23.7781,-45.3581,20.97,94,100,2.67,BR,1696201054
148,valentin gomez farias,28.2167,-106.5833,28.22,20,25,1.94,MX,1696201054
149,stanley,54.868,-1.6985,12.1,95,20,1.54,GB,1696201054
150,new plymouth,-39.0667,174.0833,14.89,88,86,6.71,NZ,1696201055
151,fale old settlement,-9.3852,-171.2468,28.25,72,53,3.76,TK,1696201055
152,tiksi,71.6872,128.8694,-8.52,90,58,2.36,RU,1696201055
153,talakan,50.3167,130.3667,7.36,91,84,1.93,RU,1696201055
154,saldanha,-33.0117,17.9442,14.57,76,1,4.85,ZA,1696201055
155,awjilah,29.1081,21.2869,21.92,66,21,4.37,LY,1696201055
156,fuglafjordur,62.244,-6.814,11.26,88,79,8.83,FO,1696201055
157,selfoss,63.9331,-20.9971,8.36,72,100,5.28,IS,1696201056
158,maryport,54.7143,-3.4951,14.39,99,66,1.34,GB,1696201056
159,daru,-9.0763,143.2092,26.06,86,100,6.65,PG,1696201056
160,kapiri mposhi,-13.9652,28.6809,23.61,35,53,2.69,ZM,1696201056
161,vokhtoga,58.8147,41.0461,9.18,92,1,3.9,RU,1696201056
162,iskateley,67.6803,53.1512,10.57,96,100,3.58,RU,1696200893
163,al hasaheisa,14.7526,33.2984,32.6,36,83,3.97,SD,1696201056
164,vorgashor,67.5833,63.95,8.86,95,100,5.91,RU,1696201056
165,nova sintra,14.8667,-24.7167,24.11,79,74,4.89,CV,1696201057
166,carazinho,-28.2839,-52.7864,18.69,83,0,3.19,BR,1696201057
167,port elizabeth,-33.918,25.5701,16.16,72,0,5.66,ZA,1696201057
168,cromwell,41.5951,-72.6454,21.45,83,0,2.06,US,1696200941
169,aswan,24.0934,32.907,32.61,25,0,3.6,EG,1696201057
170,port mathurin,-19.6833,63.4167,23.07,77,4,6.54,MU,1696201057
171,tamanrasset,22.785,5.5228,22.95,27,0,1.54,DZ,1696201057
172,chegdomyn,51.1167,133.0167,5.74,94,100,1.34,RU,1696200867
173,quezon,7.7303,125.0989,23.96,90,100,1.0,PH,1696201057
174,ust'-ilimsk,58.0006,102.6619,-1.42,83,93,4.02,RU,1696201057
175,erdenet,49.0333,104.0833,3.58,90,100,1.94,MN,1696201058
176,fortaleza,-3.7227,-38.5247,28.07,65,0,4.12,BR,1696201058
177,aasiaat,68.7098,-52.8699,-6.78,79,10,3.49,GL,1696201058
178,narasannapeta,18.4167,84.05,26.17,91,100,3.13,IN,1696201058
179,carnarvon,-24.8667,113.6333,20.07,64,88,7.03,AU,1696201058
